,sub_id,run,video_number,video_category,category,expected_fear,fear,arousal,valence
207,09,3,27,3,Spiders,0.186,0.405,0.337,0.21
208,09,3,33,3,Spiders,0.241,0.23,0.577,0.499
209,09,3,7,1,Heights,0.894,0.587,0.584,0.361
210,09,3,3,1,Heights,0.797,0.919,0.973,0.0
211,09,3,34,3,Spiders,0.121,0.225,0.184,0.143
212,09,3,25,3,Spiders,0.1,0.584,0.756,0.0
213,09,3,21,2,Social,0.246,0.127,0.438,0.878
214,09,3,4,1,Heights,0.912,0.914,0.942,0.0
215,09,3,9,1,Heights,0.893,0.168,0.321,0.62
216,10,1,29,3,Spiders,0.269,0.098,0.325,0.499
217,10,1,7,1,Heights,0.207,0.0,0.0,0.823
218,10,1,11,1,Heights,0.03,0.0,0.0,0.992
219,10,1,14,2,Social,0.078,0.717,0.673,0.0
220,10,1,36,3,Spiders,0.275,0.005,0.0,0.499
221,10,1,27,3,Spiders,0.0,0.254,0.0,0.293
222,10,1,31,3,Spiders,0.179,0.004,0.017,0.459
223,10,1,5,1,Heights,0.111,0.911,0.797,0.0
224,10,1,4,1,Heights,0.499,0.808,1.0,0.013
225,10,1,20,2,Social,0.038,0.495,0.124,0.314
226,10,1,13,2,Social,0.254,0.036,0.777,0.919
227,10,1,19,2,Social,0.269,0.033,0.002,0.498
228,10,2,33,3,Spiders,0.22,0.703,0.657,0.02
229,10,2,1,1,Heights,0.249,0.929,0.67,0.049
230,10,2,3,1,Heights,0.303,0.992,0.982,0.028
231,10,2,18,2,Social,0.21,0.195,0.0,0.447
232,10,2,32,3,Spiders,0.246,0.007,0.0,0.503
233,10,2,28,3,Spiders,0.259,0.738,0.709,0.291
234,10,2,26,3,Spiders,0.246,0.499,0.704,0.355
235,10,2,10,1,Heights,0.499,0.204,0.176,0.777
236,10,2,8,1,Heights,0.499,0.0,0.0,1.0
237,10,2,21,2,Social,0.182,0.0,0.0,0.921
238,10,2,17,2,Social,0.197,1.0,0.499,0.0
239,10,2,23,2,Social,0.187,0.0,0.0,0.499
240,10,3,12,1,Heights,0.495,0.3694916933808595,0.499,0.96
241,10,3,2,1,Heights,0.425,0.742,0.625,0.339
242,10,3,9,1,Heights,0.498,0.026,0.044,0.96
243,10,3,34,3,Spiders,0.272,0.0,0.423,0.007
244,10,3,35,3,Spiders,0.29,0.0,0.012,0.499
245,10,3,30,3,Spiders,0.252,0.564,0.976,0.139
246,10,3,24,2,Social,0.178,0.048,0.27,1.0
247,10,3,15,2,Social,0.205,1.0,0.656,0.0
248,10,3,25,3,Spiders,0.347,0.625,0.672,0.09
249,10,3,22,2,Social,0.202,0.0,0.0,0.893
250,10,3,16,2,Social,0.246,1.0,0.794,0.0
251,10,3,6,1,Heights,0.345,0.994,1.0,0.02
252,11,1,34,3,Spiders,0.113,0.103,0.283,0.499
253,11,1,21,2,Social,0.101,0.158,0.348,0.499
254,11,1,33,3,Spiders,0.139,0.116,0.807,0.833
255,11,1,25,3,Spiders,0.114,0.343,1.0,0.104
256,11,1,26,3,Spiders,0.085,0.454,0.914,0.839
257,11,1,5,1,Heights,0.106,0.168,0.573,0.499
258,11,1,3,1,Heights,0.101,0.491,1.0,0.625
259,11,1,10,1,Heights,0.186,0.065,0.225,0.314
260,11,1,23,2,Social,0.155,0.098,0.116,0.623
261,11,1,16,2,Social,0.124,0.207,0.964,0.623
262,11,1,17,2,Social,0.096,0.07,0.499,0.499
263,11,1,12,1,Heights,0.117,0.085,0.356,0.677
264,11,2,29,3,Spiders,0.119,0.366,0.734,0.303
265,11,2,9,1,Heights,0.166,0.044,0.226,0.656
266,11,2,15,2,Social,0.109,0.147,0.76,0.937
267,11,2,4,1,Heights,0.126,0.231,0.665,0.748
268,11,2,7,1,Heights,0.106,0.087,0.173,0.634
269,11,2,6,1,Heights,0.13,0.179,0.885,0.73
270,11,2,24,2,Social,0.153,0.091,0.964,0.94
271,11,2,19,2,Social,0.103,0.15,0.288,0.597
272,11,2,14,2,Social,0.114,0.142,0.935,0.647
273,11,2,30,3,Spiders,0.114,0.142,0.553,0.701
